Rank,School,Link,Conference,Total Revenue,Total Expenses,Total Allocated,Link,Percent Allocated,School,Link
102,Texas-El Paso,https://sportsdata.usatoday.com/ncaa/finances/228796,CUSA,"$33,131,210 ","$34,370,528 ","$19,552,006 ",,59.01%,Texas-El Paso,https://sportsdata.usatoday.com/ncaa/finances/228796
103,New Hampshire,https://sportsdata.usatoday.com/ncaa/finances/183044,AmEast,"$33,102,605 ","$31,716,448 ","$24,156,209*",https://sportsdata.usatoday.com/ncaa/#,72.97%,New Hampshire,https://sportsdata.usatoday.com/ncaa/finances/183044
104,Eastern Michigan,https://sportsdata.usatoday.com/ncaa/finances/169798,MAC,"$33,040,581 ","$33,040,581 ","$22,129,655 ",,66.98%,Eastern Michigan,https://sportsdata.usatoday.com/ncaa/finances/169798
105,Louisiana-Lafayette,https://sportsdata.usatoday.com/ncaa/finances/160658,SBC,"$33,021,554 ","$38,364,254 ","$17,821,395 ",,53.97%,Louisiana-Lafayette,https://sportsdata.usatoday.com/ncaa/finances/160658
106,Kennesaw State,https://sportsdata.usatoday.com/ncaa/finances/140164,Asun,"$32,970,444 ","$25,862,921 ","$26,563,653 ",,80.57%,Kennesaw State,https://sportsdata.usatoday.com/ncaa/finances/140164
107,Arkansas State,https://sportsdata.usatoday.com/ncaa/finances/106458,SBC,"$32,376,515 ","$32,376,515 ","$15,245,126 ",,47.09%,Arkansas State,https://sportsdata.usatoday.com/ncaa/finances/106458
108,Rhode Island,https://sportsdata.usatoday.com/ncaa/finances/217484,A10,"$31,993,515 ","$33,139,455 ","$24,593,744 ",,76.87%,Rhode Island,https://sportsdata.usatoday.com/ncaa/finances/217484
109,William & Mary,https://sportsdata.usatoday.com/ncaa/finances/231624,CAA,"$30,941,310 ","$30,727,683 ","$16,939,865 ",,54.75%,William & Mary,https://sportsdata.usatoday.com/ncaa/finances/231624
110,North Dakota,https://sportsdata.usatoday.com/ncaa/finances/200280,Summit,"$30,859,877 ","$30,837,768 ","$14,777,751 ",,47.89%,North Dakota,https://sportsdata.usatoday.com/ncaa/finances/200280
111,Georgia Southern,https://sportsdata.usatoday.com/ncaa/finances/139931,SBC,"$30,700,262 ","$30,700,262 ","$19,272,029 ",,62.77%,Georgia Southern,https://sportsdata.usatoday.com/ncaa/finances/139931
112,Akron,https://sportsdata.usatoday.com/ncaa/finances/200800,MAC,"$30,498,496 ","$30,290,134 ","$19,973,110 ",,65.49%,Akron,https://sportsdata.usatoday.com/ncaa/finances/200800
113,New Mexico State,https://sportsdata.usatoday.com/ncaa/finances/188030,WAC,"$30,350,192 ","$32,457,148 ","$18,731,176*",https://sportsdata.usatoday.com/ncaa/#,61.72%,New Mexico State,https://sportsdata.usatoday.com/ncaa/finances/188030
114,Missouri State,https://sportsdata.usatoday.com/ncaa/finances/179566,MVC,"$29,915,772 ","$29,915,772 ","$18,340,650 ",,61.31%,Missouri State,https://sportsdata.usatoday.com/ncaa/finances/179566
115,Illinois State,https://sportsdata.usatoday.com/ncaa/finances/145813,MVC,"$29,899,837 ","$29,834,680 ","$20,879,963 ",,69.83%,Illinois State,https://sportsdata.usatoday.com/ncaa/finances/145813
116,Ohio,https://sportsdata.usatoday.com/ncaa/finances/204857,MAC,"$29,335,290 ","$31,309,063 ","$19,276,584 ",,65.71%,Ohio,https://sportsdata.usatoday.com/ncaa/finances/204857
117,North Dakota State,https://sportsdata.usatoday.com/ncaa/finances/200332,Summit,"$29,295,443 ","$28,432,381 ","$7,598,441*",https://sportsdata.usatoday.com/ncaa/#,25.94%,North Dakota State,https://sportsdata.usatoday.com/ncaa/finances/200332
118,Montana,https://sportsdata.usatoday.com/ncaa/finances/180489,BigSky,"$28,970,312 ","$22,515,985 ","$10,039,442*",https://sportsdata.usatoday.com/ncaa/#,34.65%,Montana,https://sportsdata.usatoday.com/ncaa/finances/180489
119,California-San Diego,https://sportsdata.usatoday.com/ncaa/finances/122436,BigWst,"$28,899,588 ","$24,652,947 ","$26,946,504 ",,93.24%,California-San Diego,https://sportsdata.usatoday.com/ncaa/finances/122436
120,Ball State,https://sportsdata.usatoday.com/ncaa/finances/150136,MAC,"$28,804,851 ","$28,526,892 ","$19,993,730 ",,69.41%,Ball State,https://sportsdata.usatoday.com/ncaa/finances/150136
121,Louisiana Tech,https://sportsdata.usatoday.com/ncaa/finances/159647,CUSA,"$28,693,958 ","$28,294,724 ","$15,999,149 ",,55.76%,Louisiana Tech,https://sportsdata.usatoday.com/ncaa/finances/159647
122,Wichita State,https://sportsdata.usatoday.com/ncaa/finances/156125,AAC,"$28,611,561 ","$25,668,918 ","$9,415,986 ",,32.91%,Wichita State,https://sportsdata.usatoday.com/ncaa/finances/156125
123,Kent State,https://sportsdata.usatoday.com/ncaa/finances/203517,MAC,"$28,605,618 ","$29,613,870 ","$16,858,135 ",,58.93%,Kent State,https://sportsdata.usatoday.com/ncaa/finances/203517
124,Towson,https://sportsdata.usatoday.com/ncaa/finances/164076,CAA,"$28,568,909 ","$28,156,444 ","$22,913,423*",https://sportsdata.usatoday.com/ncaa/#,80.20%,Towson,https://sportsdata.usatoday.com/ncaa/finances/164076
125,Southern Mississippi,https://sportsdata.usatoday.com/ncaa/finances/176372,SBC,"$28,361,867 ","$28,346,698 ","$14,474,018 ",,51.03%,Southern Mississippi,https://sportsdata.usatoday.com/ncaa/finances/176372
